Course	Room	Teacher	Time	Days	Students
311	28	222	(17, 19)	MWF	1131 1153 1168 1177 1190 1315 1355 1439 1461 1479 1598 1632 1651 1675 1677 1678 1721 1773 1799 1806 1843 1847 1876 1947 2064 2095 2125 2151 2283
312	66	180	(3, 5)	TTHF	1133 1417 1775 2018 2194 2262 2270
313	10	223	(6, 7)	MTWTHF	1131 1177 1482 1522 1615 1703 1710 1738 1947 1992 2200
314	89	224	(0, 2)	MWF	1131 1166 1267 1513 1614 1860 2071 2112
315	112	225	(0, 3)	M	1157 1169 1224 1296 1365 1394 1426
316	112	225	(4, 7)	M	1181 1273 1318 1334 1394 1426 1448
317	13	226	(4, 6)	TTHF	1511
318	13	227	(12, 13)	MTWTHF	1132
319	90	165	(8, 10)	MWF	1132 2012
321	113	197	(9, 14)	W	1133 1555 1567 1759 1976 2098 2171 2256
325	87	231	(3, 5)	MWF	1137 1172 1307 1328 1377 1402 1549 1625 1651 1686 1753 1932 1941
327	76	233	(6, 11)	M	1135 1140 1141 1197 1213 1216 1217 1227 1231 1242 1254 1294 1312 1353 1379 1380 1401 1456 1479 1519 1541 1562 1588 1600 1623 1654 1696 1701 1709 1744 1753 1767 1785 1920 1941 1942 1946 1995 2042 2043 2053 2090 2127 2143 2186 2199 2207 2250 2268 2282
328	56	234	(9, 11)	MWF	1148 1381
329	70	235	(16, 19)	M	1167 1220 1335 1535 1539 1576 1589 1635 1702 1736 1946 2121 2128 2149 2159 2179 2184 2205 2225 2251 2259
330	76	237	(15, 17)	MWF	1135 1141 1172 1197 1213 1216 1227 1231 1242 1269 1294 1310 1322 1339 1376 1377 1379 1380 1401 1415 1456 1491 1505 1510 1519 1521 1541 1562 1588 1600 1605 1606 1623 1625 1646 1654 1671 1696 1699 1713 1744 1753 1767 1793 1805 1862 1920 1937 1941 1942 1993 2037 2048 2053 2127 2143 2185 2207 2227 2239 2250 2268
331	27	239	(0, 2)	MWF	1444 1645
333	61	241	(7, 9)	MWF	1239 1268 1595 1861 2255
334	82	242	(0, 2)	MWF	1138 1256 1260 1463 1508 1560 1573 1707 1793 1863
335	89	168	(12, 14)	MWF	1138 1245 1366 1447 1465 1568 1614 1786 2109 2112
336	2	243	(0, 1)	MTWTHF	1382 2081
337	115	244	(9, 11)	MWF	1138
338	62	245	(4, 5)	MTWTHF	1139 1183 1184 1414 1599 1749 1844 2012 2159 2252 2266 2299
339	96	246	(10, 11)	MTWTHF	1382 1725 1963
340	41	246	(14, 16)	TTHF	1140 1148 1554 1978
341	87	231	(12, 14)	MWF	1478 1799 2127 2261
342	113	198	(7, 12)	F	1759 2059
345	86	209	(3, 5)	MWF	1142 1275 1405 1588 1597 1767 1829 1863 1891 1950 2073 2137 2196 2210 2234 2272 2286
346	84	249	(4, 5)	MTWTHF	1169 1177 1187 1201 1296 1439 1645 1778 1802 1804 1860 1947 1992 2095 2108 2180
347	61	250	(14, 16)	MWF	1217 1236 1428 1440 1676 1846 2178
348	127	251	(8, 11)	TTHF	
349	11	243	(4, 5)	MTWTHF	1143 1350 1413 1571 2139
350	31	252	(0, 2)	MWF	1144 1575 1663 1876 1966 2146
351	36	253	(3, 4)	M	1144 1966 2146
352	5	254	(8, 9)	MTWTHF	1144 1261 1271 1514 1517 1575 1610 1625 1628 1651 1663 1700 1733 1829 1878 1964 1966 2122 2124 2151
353	113	255	(0, 5)	T	1144 1732
